year,make,model,trim,body,transmission,vin,branch,condition,odometer,color,interior,seller,marketprice,sellingprice,saledate
2013,Hyundai,Elantra,GLS,sedan,automatic,5npdh4ae0dh326532,JAKARTA,48.0,33610.0,black,beige,hyundai motor finance,227900000.0,236500000.0,Tue Jun 16 2018 02:30:00 GMT-0700 (PDT)
2014,Jeep,Patriot,Limited,SUV,automatic,1c4njrcb6ed842622,JAKARTA,47.0,27249.0,white,tan,budget rent a car/kansas city funding llc,389150000.0,389150000.0,Wed Mar 04 2018 02:30:00 GMT-0800 (PST)
2013,Ford,Edge,Limited,SUV,automatic,2fmdk4kc0dbc22340,SURABAYA,29.0,56447.0,gray,black,the hertz corporation,396675000.0,397750000.0,Wed Jan 07 2019 12:30:00 GMT-0800 (PST)
2009,Chevrolet,Impala,LS,Sedan,automatic,2g1wb57k291189849,MEDAN,2.0,14916.0,gray,gray,westlake financial services,180600000.0,150500000.0,Tue Jan 13 2018 10:00:00 GMT-0800 (PST)
2014,Ford,Fusion,SE,Sedan,automatic,3fa6p0hd2er160035,MEDAN,46.0,37674.0,brown,black,avis corporation,324650000.0,320350000.0,Wed Feb 18 2019 02:00:00 GMT-0800 (PST)
2012,Honda,Crosstour,EX,Hatchback,automatic,5j6tf3h31cl003210,BALIKPAPAN,44.0,29305.0,white,black,ahfc/honda lease trust/hvt  inc. eot,333250000.0,363350000.0,Thu Mar 05 2018 02:00:00 GMT-0800 (PST)
2001,Chevrolet,Malibu,Base,Sedan,automatic,1g1nd52j316205994,SURABAYA,19.0,143885.0,gold,tan,hamilton honda,18812500.0,10750000.0,Wed Jan 07 2019 09:30:00 GMT-0800 (PST)
2013,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e37d1212625,MEDAN,31.0,47206.0,silver,black,the hertz corporation,239725000.0,230050000.0,Thu May 28 2019 05:00:00 GMT-0700 (PDT)
2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7apxem672889,BALIKPAPAN,44.0,18799.0,gray,black,nissan infiniti lt,602000000.0,548250000.0,Thu Feb 12 2019 04:30:00 GMT-0800 (PST)
2014,Nissan,Altima,2.5 S,sedan,automatic,1n4al3ap9en370128,SURABAYA,4.0,6804.0,silver,black,ag leaseplan,314975000.0,270900000.0,Wed May 27 2018 05:30:00 GMT-0700 (PDT)
